State_Name,State_District_Name,Population_Rural,Population_Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Femal Rural,Fever FemaleUrban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Womene Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Rajasthan,Rajsamand,39193,5344,79.8,91.8,6.7,0,81.9,87.8,63.7,74.8,90.2,97.2,2750,2706,2279,2962,2902,714,3675,692,2928,1917,4587,2385,9031,5599,11008,6423,93.1,94,94.2,94.6,92.1,93.4,45.5,57.2,47.8,41.8,43.6,71.2,80.4,86.4,74.3,79.1,96.3,96.5,93.1,98.1
Rajasthan,Sawai Madhopur,26339,6147,86.9,85.3,3.2,2.8,72.8,72.5,47.7,54,91.3,93.4,50,33,63,107,1837,2390,1944,2782,1995,2157,1582,3067,3990,4580,3741,6098,97.7,99.7,98.5,99.3,96.8,100,49,53.6,55.9,59.9,41.1,48.5,56,89.1,71.9,95.9,97.8,97.4,93.4,98.3
Rajasthan,Sikar,74501,12357,86.2,83.2,4.1,7.1,93.1,91.2,86.8,81.1,95.6,92.9,274,517,265,405,3396,1501,3921,1321,2054,1533,2233,1708,6272,4181,7111,4068,98.6,98.4,98.3,98.1,98.8,98.7,20.8,25.5,20.3,23.6,21.2,27.6,100,100,100,100,98.7,97.9,98.3,98.5
Rajasthan,Sirohi,50684,5325,78.2,92.5,7.5,3,72.7,82.8,64.9,75.4,85.7,94.7,513,114,498,203,1067,533,1272,730,3107,2701,3667,2513,4947,3728,5752,3972,97,95.4,98.3,96.9,96,93.9,49.4,46,48.6,51.6,50.1,40.2,68.4,91.2,83.3,96.9,87.4,99.5,97.5,97.6
Rajasthan,Tonk,50727,10973,85.6,94,3.5,1.6,73.6,81.9,48.7,69.9,94.6,97.9,67,36,26,19,1764,3166,1855,4067,7836,612,8671,659,9740,3904,10709,4997,97.1,86.7,98.4,90.8,95.9,83.3,53.7,86.4,54.5,88.8,53,84.2,50.4,84.4,59.3,61.4,94.8,99.4,88.9,96.9
Rajasthan,Udaipur,31381,6998,72.4,93.2,5.9,0.4,82.4,96.4,79.8,91.2,88.4,98.5,458,251,514,121,1488,1949,1870,1941,4241,1671,5191,2062,6914,5347,8592,5914,95.1,98.2,95.9,98.4,94.4,97.9,52.3,33.9,55,34.4,50,33.5,76.9,95.8,67.7,78.8,79,98.9,91.7,98.1
Uttar Pradesh,Agra,75549,50065,74.99,77.46,3.99,3.54,62.72,66.3,42.7,45.87,89.87,91.6,548.21,471.43,573.43,513.68,16742.25,16450.59,17405.29,18479.32,1286.28,1075.92,1367.87,1098.22,18963.69,18332.51,19869.72,20463.2,94.13,95.38,94.4,95.62,93.84,95.13,3.09,2.7,3.29,2.93,2.86,2.46,57.34,78.69,54.48,80.22,95.23,98.05,96.53,96.66
Uttar Pradesh,Aligarh,37602,14981,68.28,77.17,1.73,1.06,65.64,72.73,51.19,60.25,92.43,94.5,379.39,714.66,528.21,732.49,11726.11,5769.23,12870.73,6328.74,2564.88,1858.11,3258.57,2168.18,15140.42,8601.87,17243.7,9522.41,94.14,91.69,94.42,91.84,93.87,91.54,2.3,2.91,2.68,3.78,1.94,2.02,45.66,77.29,56.48,58.54,91.66,98.02,95.77,97.26
Uttar Pradesh,Allahabad,48672,12357,74.79,72.7,10.23,13.09,60.89,66.02,54.29,58.5,77.3,75.77,1157.42,619.9,1195.57,690.73,3528.52,3491.03,3368.29,4058.02,1836.48,2251.22,2363.59,2296.67,6905.97,6557.91,7379.06,7269.9,98.73,99.88,98.17,100,99.24,99.76,3.39,1.95,3.7,1.99,3.12,1.9,82.53,99.19,95.52,98.14,99.54,99.88,96.64,94.32
Uttar Pradesh,Ambedkar Nagar,41251,3447,76.47,NA,12.2,NA,67.85,NA,63.48,NA,82.2,NA,607.06,NA,640.05,NA,13477.27,NA,13246.67,NA,859.71,NA,2448.9,NA,15315.1,NA,16677.19,NA,99.73,NA,99.82,NA,99.66,NA,5.23,NA,5.32,NA,5.16,NA,76.2,NA,95.35,NA,98.64,NA,96.05,NA
